order_id,customer_id,product_id,quantity,status,order_date,price,sales
o0001,c0436,p0008,1,delivered,25-01-25,189999,189999
o0002,c0264,p0012,1,pending,26-10-30,79999,79999
o0003,c0054,p0012,4,pending,25-10-07,79999,319996
o0004,c0131,p0011,2,pending,25-08-13,89999,179998
o0005,c0490,p0029,2,delivered,25-03-29,24999,49998
o0006,c0020,p0018,3,pending,25-09-10,39999,119997
o0007,c0194,p0007,5,cancelled,25-05-29,159999,799995
o0008,c0411,p0006,1,shipped,26-06-20,89999,89999
o0009,c0179,p0007,1,pending,26-07-21,159999,159999
o0010,c0150,p0003,4,cancelled,26-12-08,139999,559996
o0011,c0086,p0009,2,delivered,26-03-20,149999,299998
o0012,c0235,p0001,4,cancelled,25-01-14,199999,799996
o0013,c0371,p0001,4,shipped,25-05-23,199999,799996
o0014,c0199,p0018,5,delivered,26-12-04,39999,199995
o0015,c0096,p0016,3,pending,26-11-04,42999,128997
o0016,c0307,p0015,1,cancelled,26-04-05,34999,34999
o0017,c0473,p0023,1,pending,25-01-14,39999,39999
o0018,c0478,p0002,4,shipped,26-06-06,149999,599996
o0019,c0181,p0006,4,shipped,26-11-10,89999,359996
o0020,c0206,p0023,1,pending,25-06-29,39999,39999
o0021,c0306,p0018,4,delivered,25-03-07,39999,159996
o0022,c0134,p0001,5,delivered,25-01-02,199999,999995
o0023,c0047,p0022,4,delivered,25-04-26,19999,79996
o0024,c0233,p0022,1,delivered,26-10-21,19999,19999
o0025,c0204,p0012,3,cancelled,26-06-12,79999,239997
o0026,c0025,p0017,1,shipped,26-09-14,49999,49999
o0027,c0054,p0009,5,shipped,26-01-03,149999,749995
o0028,c0097,p0009,3,pending,26-01-15,149999,449997
o0029,c0068,p0007,1,cancelled,26-03-11,159999,159999
o0030,c0201,p0026,2,delivered,25-11-15,12999,25998
o0031,c0058,p0023,3,cancelled,26-11-14,39999,119997
o0032,c0040,p0002,4,delivered,25-07-02,149999,599996
o0033,c0148,p0010,4,delivered,26-11-22,179999,719996
o0034,c0401,p0022,4,pending,25-03-10,19999,79996
o0035,c0445,p0012,4,shipped,26-03-18,79999,319996
o0036,c0218,p0023,1,cancelled,25-11-27,39999,39999
o0037,c0150,p0026,5,delivered,26-01-28,12999,64995
o0038,c0165,p0002,5,shipped,26-05-16,149999,749995
o0039,c0498,p0011,2,shipped,26-09-10,89999,179998
o0040,c0297,p0016,2,delivered,26-06-10,42999,85998
o0041,c0414,p0004,2,pending,25-12-06,129999,259998
o0042,c0288,p0027,5,cancelled,26-07-21,7999,39995
o0043,c0097,p0027,2,cancelled,25-11-03,7999,15998
o0044,c0228,p0020,1,cancelled,25-02-10,29999,29999
o0045,c0344,p0002,4,shipped,26-12-09,149999,599996
o0046,c0338,p0009,3,shipped,26-05-08,149999,449997
o0047,c0448,p0026,5,delivered,26-11-21,12999,64995
o0048,c0402,p0003,2,delivered,26-03-09,139999,279998
o0049,c0011,p0021,4,delivered,25-12-26,9999,39996
o0050,c0428,p0002,5,pending,25-06-27,149999,749995
o0051,c0301,p0027,2,cancelled,25-07-06,7999,15998
o0052,c0230,p0026,5,cancelled,25-06-24,12999,64995
o0053,c0308,p0011,4,pending,26-07-09,89999,359996
o0054,c0441,p0011,4,delivered,25-09-25,89999,359996
o0055,c0232,p0005,4,shipped,26-08-02,119999,479996
o0056,c0301,p0011,5,shipped,25-11-04,89999,449995
o0057,c0129,p0014,2,pending,26-12-29,54999,109998
o0058,c0241,p0025,1,shipped,25-12-13,14999,14999
o0059,c0009,p0004,2,pending,25-11-21,129999,259998
